,movielens_Id,genre,imdbId,tmdbId,Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Actors,Year,Genre,Awards,Runtime,Type,Poster,imdbVotes,imdbID,tomatoMeter,tomatoRating,tomatoConsensus,tomatoUserRating,tomatoImage,DVD,Production,tomatoFresh,Website,tomatoRotten,tomatoUserReviews,tomatoUserMeter,BoxOffice,tomatoReviews,tomatoURL,sentiment_polarity
1628,48711,Action|Drama,805526,18925.0,A losing coach with an underdog football team faces their giants of fear and failure on and off the field to surprising results.,PG,True,English,Facing the Giants,USA,"Alex Kendrick, Stephen Kendrick",38.0,6.7,Alex Kendrick,29 Sep 2006,"Erin Bethea, James Blackwell, Bailey Cave, Shannen Fields",2006,"Drama, Sport",,111 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5OTg1NjI3M15BMl5BanBnXkFtZTcwNDc4MzMzMQ@@._V1_SX300.jpg,"12,652",tt0805526,13.0,4.1,"The tropes of both football and evangelical movies are gracelessly on parade in this banal, insipid drama.",3.9,rotten,30 Jan 2007,Destination Film,3,http://www.facingthegiants.com/,21,88039,85.0,"$10,127,352.00",24,http://www.rottentomatoes.com/m/facing_the_giants/,-0.275
1629,48738,Drama|Thriller,455590,1523.0,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970's.,R,True,"English, French, German, Swahili",The Last King of Scotland,"UK, Germany","Peter Morgan (screenplay), Jeremy Brock (screenplay), Giles Foden (novel)",74.0,7.7,Kevin Macdonald,19 Jan 2007,"Forest Whitaker, James McAvoy, Kerry Washington, Gillian Anderson",2006,"Biography, Drama, History",Won 1 Oscar. Another 47 wins &amp; 30 nominations.,123 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4NDYwOTg1N15BMl5BanBnXkFtZTcwMzM3MjYzMQ@@._V1_SX300.jpg,"147,584",tt0455590,87.0,7.3,"Forest Whitaker's performance as real-life megalomaniac dictator Idi Amin powers this fictionalized political thriller, a blunt and brutal tale about power and corruption.",3.8,certified,17 Apr 2007,Fox Searchlight,157,http://www2.foxsearchlight.com/thelastkingofscotland/,24,257552,89.0,"$17,449,410.00",181,http://www.rottentomatoes.com/m/last_king_of_scotland/,-0.4375
1630,48741,Documentary,478049,14201.0,"A documentary on the life of John Lennon, with a focus on the time in his life when he transformed from a musician into an antiwar activist.",PG-13,True,English,The U.S. vs. John Lennon,USA,"David Leaf, John Scheinfeld",64.0,7.4,"David Leaf, John Scheinfeld",07 Dec 2006,"John Lennon, Stew Albert, Tariq Ali, Carl Bernstein",2006,"Documentary, Biography, Music",2 nominations.,99 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA5ODIzNzAxNDVeQTJeQWpwZ15BbWU3MDUwODQ0MzE@._V1_SX300.jpg,"4,786",tt0478049,77.0,6.6,"Though it glosses over anything negative about Lennon, this documentary offers a lot of fascinating archival footage, plus its political issues still have relevance for today.",3.6,certified,13 Feb 2007,Lionsgate Films,74,http://www.theusversusjohnlennon.com/,22,18354,80.0,"$1,002,528.00",96,http://www.rottentomatoes.com/m/us_vs_john_lennon/,0.1
1631,48744,Comedy|Drama|Romance,367027,1378.0,"A group of New Yorkers caught up in their romantic-sexual milieu converge at an underground salon infamous for its blend of art, music, politics, and carnality.",UNRATED,True,English,Shortbus,USA,John Cameron Mitchell,64.0,6.5,John Cameron Mitchell,20 Oct 2006,"Sook-Yin Lee, Paul Dawson, Lindsay Beamish, PJ DeBoy",2006,"Drama, Romance",7 wins &amp; 6 nominations.,101 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BZjkwMTk1OWMtZjg4ZC00YWVlLTkyZGItZTU4ZjQ5NDM0M2NkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"27,658",tt0367027,67.0,6.4,"The sex may be explicit, but Mitchell integrates it into the characters' lives and serves the whole story up with a generous dose of sweetness and wit.",3.6,fresh,13 Mar 2007,ThinkFilm,82,http://www.shortbusthemovie.com/,41,55307,77.0,"$1,851,628.00",123,http://www.rottentomatoes.com/m/shortbus/,0.2
1632,48774,Action|Adventure|Drama|Sci-Fi|Thriller,206634,9693.0,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",R,True,"English, German, Italian, Romanian, Spanish, Arabic, Georgian, Russian, Serbian",Children of Men,"USA, UK, Japan","Alfonso Cuarón (screenplay), Timothy J. Sexton (screenplay), David Arata (screenplay), Mark Fergus (screenplay), Hawk Ostby (screenplay), P.D. James (novel)",84.0,7.9,Alfonso Cuarón,05 Jan 2007,"Clive Owen, Juan Gabriel Yacuzzi, Michael Caine, Mishal Husain",2006,"Drama, Sci-Fi, Thriller",Nominated for 3 Oscars. Another 41 wins &amp; 71 nominations.,109 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNDcxNTVjYTUtZjM4MS00ZWIwLTk5OGMtMWY2MjlmMzg1N2E1XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"369,138",tt0206634,92.0,8.0,"Children of Men works on every level: as a violent chase thriller, a fantastical cautionary tale, and a sophisticated human drama about societies struggling to live.",3.7,certified,27 Mar 2007,Universal Pictures,218,http://www.childrenofmen.net/,20,528594,85.0,"$35,100,000.00",238,http://www.rottentomatoes.com/m/children_of_men/,-0.0409090909091
1633,48780,Drama|Mystery|Sci-Fi|Thriller,482571,1124.0,Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.,PG-13,True,English,The Prestige,"USA, UK","Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Priest (novel)",66.0,8.5,Christopher Nolan,20 Oct 2006,"Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo",2006,"Drama, Mystery, Sci-Fi",Nominated for 2 Oscars. Another 5 wins &amp; 32 nominations.,130 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_SX300.jpg,"860,347",tt0482571,76.0,7.1,"Full of twists and turns, The Prestige is a dazzling period piece that never stops challenging the audience.",4.0,certified,20 Feb 2007,Buena Vista Pictures,142,http://touchstone.movies.go.com/index.html?dlink=prestige,46,547853,92.0,"$53,100,000.00",188,http://www.rottentomatoes.com/m/prestige/,0.533333333333
1634,48783,Drama|War,418689,3683.0,"The life stories of the six men who raised the flag at The Battle of Iwo Jima, a turning point in WWII.",R,True,English,Flags of Our Fathers,USA,"William Broyles Jr. (screenplay), Paul Haggis (screenplay), James Bradley (book), Ron Powers (book)",79.0,7.1,Clint Eastwood,20 Oct 2006,"Ryan Phillippe, Jesse Bradford, Adam Beach, John Benjamin Hickey",2006,"Drama, History, War",Nominated for 2 Oscars. Another 15 wins &amp; 24 nominations.,135 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MjYxMjMyMF5BMl5BanBnXkFtZTYwMzAwMDc3._V1_SX300.jpg,"102,425",tt0418689,73.0,7.0,"Flags of Our Fathers is both a fascinating look at heroism, both earned and manufactured, and a well-filmed salute to the men who fought at the battle of Iwo Jima.",3.5,certified,06 Feb 2007,Paramount,140,http://www.flagsofourfathers.com/,52,267631,69.0,"$33,600,000.00",192,http://www.rottentomatoes.com/m/flags_of_our_fathers/,0.7
1635,48791,Children|Drama,434215,14012.0,Young Katy claims a wild horse as her own -- an effort to prove to her father that she is capable of one day taking over the family ranch.,PG,True,English,Flicka,"USA, UK","Mark Rosenthal (screenplay), Lawrence Konner (screenplay), Mary O'Hara (novel)",57.0,6.2,Michael Mayer,20 Oct 2006,"Tim McGraw, Maria Bello, Alison Lohman, Ryan Kwanten",2006,"Adventure, Drama, Family",3 nominations.,95 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4OTM2MjU4M15BMl5BanBnXkFtZTcwMTA5MjA0MQ@@._V1_SX300.jpg,"6,189",tt0434215,54.0,5.7,"The rebellious protagonist will rally girls and children, but adults may find Flicka saddled with thin characters, over-the-top dialogue, and a plot that wanders into the countryside and never comes back.",3.7,rotten,06 Feb 2007,20th Century Fox,42,http://www.flickamovie.com/,36,97073,82.0,"$20,949,649.00",78,http://www.rottentomatoes.com/m/flicka/,-0.3
1637,48856,Crime|Drama,473488,8194.0,"The movie is a coming-of-age drama about a boy growing up in Astoria, N.Y., during the 1980s. As his friends end up dead, on drugs or in prison, he comes to believe he has been saved from their fate by various so-called saints.",R,True,"English, Spanish",A Guide to Recognizing Your Saints,USA,"Dito Montiel (book), Dito Montiel",67.0,7.1,Dito Montiel,13 Oct 2006,"Dianne Wiest, Robert Downey Jr., Shia LaBeouf, Melonie Diaz",2006,"Crime, Drama",7 wins &amp; 9 nominations.,100 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNjk4MzIyMzUxMV5BMl5BanBnXkFtZTcwNTk4NTU0MQ@@._V1_SX300.jpg,"22,436",tt0473488,76.0,6.6,"A Guide to Recognizing Your Saints is a lively, powerful coming-of-age tale with winning performances and sharp direction from first-timer Dito Montiel.",3.4,certified,20 Feb 2007,First Look Media,71,http://www.firstlookstudios.com/guide,23,101315,74.0,"$420,603.00",94,http://www.rottentomatoes.com/m/a_guide_to_recognizing_your_saints/,0.225
1638,48877,Crime|Horror|Thriller,489270,214.0,Jigsaw kidnaps a doctor to keep him alive while he watches his new apprentice put an unlucky citizen through a brutal test.,R,True,English,Saw III,"USA, Canada","Leigh Whannell (story), James Wan (story), Leigh Whannell (screenplay)",48.0,6.2,Darren Lynn Bousman,27 Oct 2006,"Tobin Bell, Shawnee Smith, Angus Macfadyen, Bahar Soomekh",2006,Horror,5 nominations.,108 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3MzI5NjYxMl5BMl5BanBnXkFtZTcwOTA0NDkzMQ@@._V1_SX300.jpg,"144,281",tt0489270,28.0,4.2,Saw III does little beyond repeating its predecessor's tropes on a gorier level.,3.6,rotten,23 Jan 2007,Lionsgate Films,24,http://www.saw3.com/,63,560231,71.0,"$80,200,000.00",87,http://www.rottentomatoes.com/m/saw_3/,-0.1875
1639,48879,Drama|Thriller,437232,1123.0,"A drama about terrorism in Apartheid-era South Africa, revolving around a policeman and a young man who carries out solo attacks against the regime.",PG-13,True,"English, Afrikaans, Zulu, Portuguese",Catch a Fire,"France, UK, South Africa, USA",Shawn Slovo,62.0,6.7,Phillip Noyce,27 Oct 2006,"Tim Robbins, Derek Luke, Bonnie Henna, Mncedisi Shabangu",2006,"Biography, Drama, History",2 wins &amp; 5 nominations.,101 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BOTEzMjQ5NzEwNl5BMl5BanBnXkFtZTcwMDYwMTgzMQ@@._V1_SX300.jpg,"9,384",tt0437232,76.0,6.7,"No stranger to the political thriller, director Phillip Noyce tackles apartheid and terrorism with experienced gusto, while Derek Luke and Tim Robbins hand in nuanced performances.",3.4,certified,30 Jan 2007,Focus Features,108,http://www.catchafiremovie.com/,35,28935,71.0,"$4,291,965.00",143,http://www.rottentomatoes.com/m/catch_a_fire/,0.4
1640,48883,Crime|Drama|Mystery|Thriller,853096,21173.0,"Years after the assassination of President George W. Bush in Chicago, an investigative documentary examines that as-yet-unsolved crime.",R,True,"English, Arabic",Death of a President,UK,"Gabriel Range, Simon Finch",49.0,6.4,Gabriel Range,27 Oct 2006,"Hend Ayoub, Becky Ann Baker, Brian Boland, Michael Reilly Burke",2006,"Crime, Drama, Mystery",6 wins &amp; 1 nomination.,97 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BOTE3MDE2MjYxMF5BMl5BanBnXkFtZTcwODYxODgzMQ@@._V1_SX300.jpg,"6,568",tt0853096,37.0,5.3,"In this unconvincing fictional documentary, the tense 30 minutes that lead into the title event is outweighed by the boring, melodramatic hour preceding it.",3.2,rotten,03 Apr 2007,Newmarket Films,37,http://www.deathofapresident.com,63,12244,58.0,"$167,000.00",100,http://www.rottentomatoes.com/m/death_of_a_president/,-0.333333333333
1641,48982,Animation|Comedy,424095,11619.0,"The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life.",PG,True,English,Flushed Away,"UK, USA","Dick Clement (screenplay), Ian La Frenais (screenplay), Christopher Lloyd (screenplay), Joe Keenan (screenplay), William Davies (screenplay), Sam Fell (story by), Peter Lord (story by), Dick Clement (story by), Ian La Frenais (story by)",74.0,6.7,"David Bowers, Sam Fell",03 Nov 2006,"Hugh Jackman, Kate Winslet, Ian McKellen, Jean Reno",2006,"Animation, Adventure, Comedy",Nominated for 1 BAFTA Film Award. Another 6 wins &amp; 13 nominations.,85 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MzE1MDk2N15BMl5BanBnXkFtZTYwMjEwMzI3._V1_SX300.jpg,"86,837",tt0424095,72.0,6.7,"Clever and appealing for both children and adults, Flushed Away marks a successful entry into digital animated features for Aardman Animations.",3.3,certified,20 Feb 2007,Paramount,94,http://www.flushedaway.com/,36,249336,65.0,"$64,459,316.00",130,http://www.rottentomatoes.com/m/flushed_away/,0.354166666667
1642,48997,Crime|Drama|Thriller,396171,1427.0,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",R,True,English,Perfume: The Story of a Murderer,"Germany, France, Spain, USA","Andrew Birkin (screenplay), Bernd Eichinger (screenplay), Tom Tykwer (screenplay), Patrick Süskind (novel)",56.0,7.5,Tom Tykwer,05 Jan 2007,"Ben Whishaw, Francesc Albiol, Gonzalo Cunill, Roger Salvany",2006,"Crime, Drama, Fantasy",15 wins &amp; 17 nominations.,147 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0NjUyMTk3Nl5BMl5BanBnXkFtZTcwOTA5MzkzMQ@@._V1_SX300.jpg,"193,149",tt0396171,58.0,6.2,"Perfume is what you'd expect from a Tom Twyker-directed movie glamorizing a serial killer: a kinetic visual feast, with a dark antihero that's impossible to feel sympathy for.",3.4,rotten,24 Jul 2007,Dreamworks,71,http://www.perfumemovie.com/,52,266169,74.0,"$2,101,584.00",123,http://www.rottentomatoes.com/m/perfume_the_story_of_a_murderer/,-0.272222222222
1643,49013,Comedy|Fantasy,452681,13767.0,"Santa, aka Scott Calvin, is faced with double-duty: how to keep his new family happy, and how to stop Jack Frost from taking over Christmas.",G,True,English,The Santa Clause 3: The Escape Clause,USA,"Ed Decter, John J. Strauss, Leo Benvenuti (characters), Steve Rudnick (characters)",32.0,4.7,Michael Lembeck,03 Nov 2006,"Tim Allen, Elizabeth Mitchell, Eric Lloyd, Judge Reinhold",2006,"Adventure, Comedy, Family",4 wins &amp; 9 nominations.,97 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4ODQ4MzgzMl5BMl5BanBnXkFtZTcwODc5NTUzMQ@@._V1_SX300.jpg,"22,063",tt0452681,15.0,3.7,"Playing Jack Frost as an evil cross between Liza Minnelli and Liberace, Martin Short is a welcome presence, but this tired series continues drawing from its bag of bland gags and dumb slapstick.",3.1,rotten,20 Nov 2007,Buena Vista,10,http://www.santaclause3.com,55,150605,39.0,"$84,438,648.00",65,http://www.rottentomatoes.com/m/santa_clause_3/,-0.163095238095
1644,49130,Comedy|Drama|Romance,401445,9726.0,"A British investment broker inherits his uncle's chateau and vineyard in Provence, where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold.",PG-13,True,"English, French, Russian",A Good Year,"USA, UK","Marc Klein (screenplay), Peter Mayle (novel)",47.0,6.9,Ridley Scott,10 Nov 2006,"Freddie Highmore, Albert Finney, Russell Crowe, Rafe Spall",2006,"Comedy, Drama, Romance",1 win &amp; 2 nominations.,117 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BODE4NDY3MjUxNV5BMl5BanBnXkFtZTYwMTMwODI3._V1_SX300.jpg,"71,865",tt0401445,26.0,4.8,"A Good Year is a fine example of a top-notch director and actor out of their elements, in a sappy romantic comedy lacking in charm and humor.",3.3,rotten,27 Feb 2007,20th Century Fox,33,http://www.agoodyear.com/,96,89254,65.0,"$7,365,004.00",129,http://www.rottentomatoes.com/m/good_year/,0.529166666667
1645,49205,Sci-Fi|Thriller,433442,10093.0,"Joanna Mills, a traveling business woman, begins having nightmares of a murder that occurred 15 years ago. Soon she is drawn to an old farmhouse, where the murder took place.",PG-13,True,English,The Return,USA,Adam Sussman,38.0,4.8,Asif Kapadia,10 Nov 2006,"Sarah Michelle Gellar, Peter O'Brien, Adam Scott, Kate Beahan",2006,"Horror, Mystery, Thriller",,85 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0MzQ4NzQ1NV5BMl5BanBnXkFtZTcwNDc2MjczMQ@@._V1_SX300.jpg,"10,106",tt0433442,16.0,3.9,"Unoriginality may be an acceptable risk in the Horror genre, but boredom is never okay.",2.9,rotten,27 Feb 2007,Focus Features,9,http://thereturnmovie.net/,46,192218,32.0,"$7,712,009.00",55,http://www.rottentomatoes.com/m/return/,-0.25
1646,49220,Comedy,470765,14799.0,"Three actors learn that their respective performances in the film ""Home for Purim,"" a drama set in the mid-1940s American South, are generating award-season buzz.",PG-13,True,English,For Your Consideration,USA,"Christopher Guest, Eugene Levy",68.0,6.3,Christopher Guest,22 Nov 2006,"Catherine O'Hara, Stephen Rannazzisi, Ed Begley Jr., Eugene Levy",2006,Comedy,3 wins &amp; 14 nominations.,86 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxNzg0NTY4MV5BMl5BanBnXkFtZTcwNDk4NjkzMQ@@._V1_SX300.jpg,"12,339",tt0470765,51.0,5.8,"As the object of satire gets bigger the jokes become thinner, and Christopher Guest isn't as droll or insightful here than when he was lampooning smaller subjects.",3.0,rotten,20 Feb 2007,Warner Independent Pictures,81,http://wip.warnerbros.com/foryourconsideration/,79,19752,43.0,"$5,490,967.00",160,http://www.rottentomatoes.com/m/1159169-for_your_consideration/,0.0
1647,49272,Action|Adventure|Thriller,381061,36557.0,"Armed with a licence to kill, Secret Agent James Bond sets out on his first mission as 007 and must defeat a weapons dealer in a high stakes game of poker at Casino Royale, but things are not what they seem.",PG-13,True,"English, French",Casino Royale,"UK, Czech Republic, USA, Germany, Bahamas","Neal Purvis (screenplay), Robert Wade (screenplay), Paul Haggis (screenplay), Ian Fleming (novel)",80.0,8.0,Martin Campbell,17 Nov 2006,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench",2006,"Action, Adventure, Thriller",Won 1 BAFTA Film Award. Another 25 wins &amp; 39 nominations.,144 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5MjI4NDExNF5BMl5BanBnXkFtZTcwMDM1MjMzMQ@@._V1_SX300.jpg,"478,870",tt0381061,95.0,7.9,"Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007.",3.9,certified,13 Mar 2007,Sony,233,http://www.sonypictures.com/movies/casinoroyale/site/,13,701447,89.0,"$167,007,184.00",246,http://www.rottentomatoes.com/m/casino_royale/,-0.0666666666667
1648,49274,Adventure|Animation|Children|Comedy|IMAX,366548,9836.0,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",PG,True,English,Happy Feet,"USA, Australia","George Miller, John Collee, Judy Morris, Warren Coleman",77.0,6.5,"George Miller, Warren Coleman, Judy Morris",17 Nov 2006,"Carlos Alazraqui, Lombardo Boyar, Jeffrey Garcia, Johnny A. Sanchez",2006,"Animation, Comedy, Family",Won 1 Oscar. Another 18 wins &amp; 24 nominations.,108 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNTkxMjUwMV5BMl5BanBnXkFtZTcwMDQ2NTU0MQ@@._V1_SX300.jpg,"135,316",tt0366548,75.0,6.9,"Visually dazzling, with a thoughtful storyline and catchy musical numbers, Happy Feet marks a successful animated debut from the makers of Babe.",3.6,certified,27 Mar 2007,Warner Bros. Pictures,120,http://www.happyfeetmovie.com/,41,616679,70.0,"$197,800,000.00",161,http://www.rottentomatoes.com/m/happy_feet/,0.54
1649,49276,Comedy,454987,9809.0,"When a career criminal's plan for revenge is thwarted by unlikely circumstances, he puts his intended victim's son in his place by putting him in prison...and then joining him.",R,True,English,Let's Go to Prison,USA,"Robert Ben Garant, Thomas Lennon, Michael Patrick Jann, Jim Hogshire (book)",27.0,6.0,Bob Odenkirk,17 Nov 2006,"Dax Shepard, Will Arnett, Chi McBride, David Koechner",2006,"Comedy, Crime",,84 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2ODkxNDE1N15BMl5BanBnXkFtZTcwOTMzMjkzMQ@@._V1_SX300.jpg,"20,176",tt0454987,12.0,3.0,"Let's Go to Prison is guilty on all counts of cliched setups, base humor, and failure to ellicit laughs.",3.1,rotten,06 Mar 2007,Universal Pictures,5,http://www.letsgotoprison.com,36,119834,48.0,"$5,525,320.00",41,http://www.rottentomatoes.com/m/lets_go_to_prison/,-0.538888888889
1650,49278,Action|Sci-Fi|Thriller,453467,7551.0,"After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims.",PG-13,True,English,Deja Vu,"USA, UK","Bill Marsilii, Terry Rossio",59.0,7.0,Tony Scott,22 Nov 2006,"Denzel Washington, Paula Patton, Val Kilmer, Jim Caviezel",2006,"Action, Sci-Fi, Thriller",1 win &amp; 5 nominations.,126 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BZWUyNzk1OTEtODhlZC00NGMwLTk5MWMtZGY0YTIwMmY0MjFmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"245,518",tt0453467,55.0,5.9,"Tony Scott tries to combine action, science fiction, romance, and explosions into one movie, but the time travel conceit might be too preposterous and the action falls apart under scrutiny.",3.6,rotten,23 Apr 2007,Buena Vista,86,http://dejavu.movies.com,70,368896,73.0,"$63,944,632.00",156,http://www.rottentomatoes.com/m/deja_vu/,0.0333333333333
1651,49280,Drama,308055,10741.0,"The story of the assassination of U.S. Senator Robert F. Kennedy who was shot in the early morning hours of June 5, 1968 in the Ambassador Hotel in Los Angeles, and 22 people in the hotel whose lives were never the same.",R,True,"English, Spanish",Bobby,USA,Emilio Estevez,54.0,7.0,Emilio Estevez,23 Nov 2006,"Harry Belafonte, Joy Bryant, Nick Cannon, Emilio Estevez",2006,"Biography, Drama, History",Nominated for 2 Golden Globes. Another 7 wins &amp; 15 nominations.,117 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyMTAyMjcxOV5BMl5BanBnXkFtZTcwNjc0NDUzMQ@@._V1_SX300.jpg,"38,346",tt0308055,46.0,5.6,"Despite best intentions from director Emilio Estevez and his ensemble cast, they succumb to a script filled with pointless subplots and awkward moments working too hard to parallel contemporary times.",3.6,rotten,10 Apr 2007,The Weinstein Co.,78,http://www.bobby-the-movie.com/,91,44962,72.0,"$11,098,707.00",169,http://www.rottentomatoes.com/m/1162559-bobby/,0.0607142857143
1652,49282,Comedy,790604,9969.0,Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.,PG,True,English,Deck the Halls,USA,"Matt Corman, Chris Ord, Don Rhymer",28.0,4.9,John Whitesell,22 Nov 2006,"Danny DeVito, Matthew Broderick, Kristin Davis, Kristin Chenoweth",2006,"Comedy, Family",1 win &amp; 8 nominations.,93 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzNjA4OTM0OV5BMl5BanBnXkFtZTcwMDgwODkzMQ@@._V1_SX300.jpg,"15,893",tt0790604,6.0,2.9,"Relying on flat humor and a preposterous plot, Deck the Halls is an unnecessarily mean-spirited holiday movie that does little to put viewers in a holiday mood.",2.8,rotten,06 Nov 2007,20th Century Fox,5,http://www.deckthehallsmovie.com/,77,55614,30.0,"$35,058,863.00",82,http://www.rottentomatoes.com/m/deck_the_halls/,-0.204166666667
1653,49284,Comedy|Drama|Romance,499603,2357.0,"An actor (Freeman) prepping for an upcoming role meets a quirky grocery clerk (Vega), and the pair hit the road to show one another their respective worlds.",R,True,"English, Spanish",10 Items or Less,USA,Brad Silberling,54.0,6.7,Brad Silberling,08 Feb 2007,"Morgan Freeman, Paz Vega, Jonah Hill, Anne Dudek",2006,"Comedy, Drama",1 win &amp; 1 nomination.,82 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MTU4NjYzMV5BMl5BanBnXkFtZTcwNTg1NzQ0MQ@@._V1_SX300.jpg,"12,869",tt0499603,63.0,6.2,A small film that relies too heavily on the charm of its big actors.,3.2,fresh,27 Apr 2007,ThinkFilm,37,,22,23854,65.0,"$69,265.00",59,http://www.rottentomatoes.com/m/10_items_or_less/,-0.15
1654,49286,Comedy|Romance,457939,1581.0,"Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love.",PG-13,True,English,The Holiday,USA,Nancy Meyers,52.0,6.9,Nancy Meyers,08 Dec 2006,"Cameron Diaz, Kate Winslet, Jude Law, Jack Black",2006,"Comedy, Romance",2 wins &amp; 7 nominations.,138 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MzEyNDkxNF5BMl5BanBnXkFtZTcwODE5NjkzMQ@@._V1_SX300.jpg,"186,266",tt0457939,47.0,5.5,"The Holiday, while sweet and somewhat touching, lacks any surprises and eventually overstays its welcome.",3.7,rotten,13 Mar 2007,Sony Pictures,63,http://www.sonypictures.com/movies/theholiday/index.html,72,506893,80.0,"$63,224,849.00",135,http://www.rottentomatoes.com/m/the_holiday/,0.55
1657,49347,Drama,460792,8324.0,An ensemble piece examining the health risks involved in the fast food industry and its environmental and social consequences as well.,R,True,"English, Spanish",Fast Food Nation,"UK, USA","Eric Schlosser, Richard Linklater, Eric Schlosser (book)",64.0,6.3,Richard Linklater,17 Nov 2006,"Wilmer Valderrama, Catalina Sandino Moreno, Ana Claudia Talancón, Juan Carlos Serrán",2006,"Comedy, Drama, Romance",1 win &amp; 3 nominations.,116 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BYzM0ODQ5OGItZDZhMy00NDk0LWJmNTgtZGRiMTBjMDI1YTAwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"21,064",tt0460792,50.0,5.7,"Despite some fine performances and memorable scenes, Fast Food Nation is more effective as Eric Schlosser's eye-opening non-fiction book than as Richard Linklater's fictionalized, mostly punchless movie.",3.0,rotten,06 Mar 2007,Fox Searchlight Pictures,73,http://www.fastfoodnation-movie.com/,74,62840,42.0,"$905,718.00",147,http://www.rottentomatoes.com/m/fast_food_nation/,0.452777777778
